x,y,layer1,layer2,voltage1,voltage2,current
3709.34,3550.94,POWER,BOTTOM_LAYER,0.00129119,0.00129108,0.000831567
3711.85,4007.64,TOP_LAYER,GND,0.000836484,0.000838898,-0.017886
3711.85,4007.64,GND,POWER,0.000838898,0.000830432,0.00482499
3711.85,4007.64,POWER,BOTTOM_LAYER,0.000830432,0.000829781,0.00482499
3711.85,4031.26,TOP_LAYER,GND,0.000825619,0.000825621,-1.44203e-05
3711.85,4031.26,GND,POWER,0.000825621,0.000821914,0.00211251
3711.85,4031.26,POWER,BOTTOM_LAYER,0.000821914,0.000821629,0.00211251
3720.17,3711.37,TOP_LAYER,GND,0.00120118,0.00120381,-0.0194953
3720.17,3711.37,GND,POWER,0.00120381,0.00121354,-0.00554436
3720.17,3711.37,POWER,BOTTOM_LAYER,0.00121354,0.00121429,-0.00554436
3720.17,3736.97,TOP_LAYER,GND,0.00118105,0.00118756,-0.0482531
3720.17,3736.97,GND,POWER,0.00118756,0.00120106,-0.00769102
3720.17,3736.97,POWER,BOTTOM_LAYER,0.00120106,0.0012021,-0.00769102
3722.68,4191.69,TOP_LAYER,GND,0.000738816,0.000738668,0.00109374
3722.68,4191.69,GND,POWER,0.000738668,0.000750892,-0.00696709
3722.68,4191.69,POWER,BOTTOM_LAYER,0.000750892,0.000751833,-0.00696709
3722.68,4217.28,TOP_LAYER,GND,0.000729119,0.000738668,-0.0707459
3722.68,4217.28,GND,POWER,0.000738668,0.000750892,-0.00696709
3722.68,4217.28,POWER,BOTTOM_LAYER,0.000750892,0.000751833,-0.00696709
3743.79,3711.37,TOP_LAYER,GND,0.0011968,0.00119478,0.0149082
3743.79,3711.37,GND,POWER,0.00119478,0.00120036,-0.00318062
3743.79,3711.37,POWER,BOTTOM_LAYER,0.00120036,0.00120079,-0.00318062
3743.79,3736.97,TOP_LAYER,GND,0.00118105,0.00117357,0.055443
3743.79,3736.97,GND,POWER,0.00117357,0.00117695,-0.0019272
3743.79,3736.97,POWER,BOTTOM_LAYER,0.00117695,0.00117721,-0.0019272
3744.33,3297.99,TOP_LAYER,GND,0.00147037,0.00147065,-0.00202585
3744.33,3297.99,GND,POWER,0.00147065,0.00147165,-0.000571359
3744.33,3297.99,POWER,BOTTOM_LAYER,0.00147165,0.00147173,-0.000571359
3744.33,3337.36,TOP_LAYER,GND,0.00147037,0.0014701,0.00207068
3744.33,3337.36,GND,POWER,0.0014701,0.00146992,9.68023e-05
3744.33,3337.36,POWER,BOTTOM_LAYER,0.00146992,0.00146991,9.68023e-05
3744.33,3376.73,TOP_LAYER,GND,0.00146494,0.00146489,0.000365378
3744.33,3376.73,GND,POWER,0.00146489,0.00146656,-0.000953171
3744.33,3376.73,POWER,BOTTOM_LAYER,0.00146656,0.00146669,-0.000953171
3744.33,4365.9,TOP_LAYER,GND,0.000614982,0.00061536,-0.00279997
3744.33,4365.9,GND,POWER,0.00061536,0.000614973,0.000221023
3744.33,4365.9,POWER,BOTTOM_LAYER,0.000614973,0.000614943,0.000221023
3744.33,4405.27,TOP_LAYER,GND,0.000611842,0.000611886,-0.000326682
3744.33,4405.27,GND,POWER,0.000611886,0.000611997,-6.33517e-05
3744.33,4405.27,POWER,BOTTOM_LAYER,0.000611997,0.000612006,-6.33517e-05
3744.33,4444.64,TOP_LAYER,GND,0.000609866,0.000609876,-7.49435e-05
3744.33,4444.64,GND,POWER,0.000609876,0.000610102,-0.000128444
3744.33,4444.64,POWER,BOTTOM_LAYER,0.000610102,0.000610119,-0.000128444
